Data Size,Test Size,Query [GB/s],Query [GB/s],Query [Ma/s - Entries/s],Query [time/entry - ns/d],Construction [GB/s],Construction [Ma/s - Entries/s],Construction [time/entry - ns/d]
Binary Fuse - 16
1000000,300000,1.06,150.86,6.63,13.37,569.53,1.76
1000000,350000,1.20,144.83,6.90,13.24,557.03,1.80
1000000,400000,1.28,137.10,7.29,13.02,556.26,1.80
1000000,450000,1.39,132.49,7.55,13.01,557.16,1.79
1000000,500000,1.50,128.14,7.80,13.26,567.83,1.76
1000000,550000,1.59,124.41,8.04,12.40,535.04,1.87
1000000,600000,1.69,120.40,8.31,12.41,529.35,1.89
1000000,650000,1.79,117.20,8.53,12.69,540.86,1.85
1000000,700000,1.88,113.93,8.78,12.73,540.85,1.85
1000000,750000,1.97,110.77,9.03,12.57,529.49,1.89
1000000,800000,2.04,107.85,9.27,12.92,546.77,1.83
1000000,850000,2.09,104.98,9.53,12.53,534.16,1.87
1000000,900000,2.16,102.24,9.78,12.50,532.75,1.88
1000000,950000,2.20,99.59,10.04,12.63,542.65,1.84
1000000,1000000,2.25,97.46,10.26,12.06,521.82,1.92
Cuckoo - 16
1000000,100000,0.53,211.83,4.72,13.90,551.22,1.81
1000000,200000,0.88,187.56,5.33,13.12,557.17,1.79
1000000,300000,1.20,170.18,5.88,13.08,557.15,1.79
1000000,400000,1.47,156.81,6.38,12.90,551.19,1.81
1000000,500000,1.69,144.76,6.91,12.47,534.00,1.87
1000000,600000,1.90,135.01,7.41,12.92,551.18,1.81
1000000,700000,2.09,126.62,7.90,13.09,556.00,1.80
1000000,800000,2.24,118.72,8.42,13.02,551.19,1.81
1000000,900000,2.37,112.13,8.92,13.18,561.36,1.78
1000000,1000000,2.45,105.93,9.44,12.32,533.21,1.88
Xor - 8
1000000,100000,1.07,424.57,2.36,1.34,53.20,18.80
1000000,200000,1.93,410.49,2.44,1.16,49.05,20.39
1000000,300000,2.88,408.69,2.45,1.09,46.53,21.49
1000000,400000,3.82,407.96,2.45,1.02,43.70,22.88
1000000,500000,4.75,407.38,2.45,0.95,40.91,24.45
1000000,600000,5.73,407.19,2.46,0.89,37.82,26.44
After this construction failed. 
Xor - 16
1000000,100000,1.00,396.79,2.52,1.31,51.89,19.27
1000000,200000,1.86,394.52,2.53,1.14,48.36,20.68
1000000,300000,2.78,394.08,2.54,1.07,45.70,21.88
1000000,400000,3.68,392.83,2.55,0.98,42.01,23.80
1000000,500000,4.59,393.53,2.54,0.93,39.66,25.21
1000000,600000,5.53,393.24,2.54,0.86,36.57,27.34
After this construction failed. 
Branchless Bloom - 16
1000000,100000,0.42,166.42,6.01,0.83,32.89,30.40
1000000,200000,0.73,155.72,6.42,0.81,34.47,29.01
1000000,300000,1.06,150.96,6.62,0.89,37.94,26.36
1000000,400000,1.38,147.59,6.78,0.92,39.45,25.35
1000000,500000,1.68,143.92,6.95,0.99,42.38,23.60
1000000,600000,2.00,142.47,7.02,1.05,44.76,22.34
1000000,700000,2.32,140.61,7.11,1.09,46.21,21.64
1000000,800000,2.63,139.09,7.19,1.11,47.12,21.22
1000000,900000,2.90,137.15,7.29,1.13,48.22,20.74
1000000,1000000,3.15,136.12,7.35,1.14,49.16,20.34
Blocked Bloom - 16
1000000,100000,1.20,477.89,2.09,10.76,426.59,2.34
1000000,200000,2.24,476.37,2.10,9.63,408.68,2.45
1000000,300000,3.35,474.81,2.11,9.45,402.46,2.48
1000000,400000,4.44,474.48,2.11,9.34,399.22,2.50
1000000,500000,5.54,474.51,2.11,9.27,397.14,2.52
1000000,600000,6.67,474.58,2.11,9.28,396.02,2.53
1000000,700000,7.82,474.24,2.11,9.30,394.78,2.53
1000000,800000,8.96,474.23,2.11,9.26,391.93,2.55
1000000,900000,10.00,473.22,2.11,9.20,391.83,2.55
1000000,1000000,10.94,473.53,2.11,9.03,390.73,2.56
Counting Bloom 16 
1000000,100000,0.16,65.25,15.32,1.21,47.83,20.91
1000000,200000,0.32,67.00,14.92,1.19,50.46,19.82
1000000,300000,0.49,69.16,14.46,1.20,51.12,19.56
1000000,400000,0.66,70.77,14.13,1.19,51.05,19.59
1000000,500000,0.83,71.36,14.01,1.18,50.54,19.79
1000000,600000,1.05,74.90,13.35,1.18,50.28,19.89
1000000,700000,1.27,77.33,12.93,1.18,49.99,20.00
1000000,800000,1.53,80.69,12.39,1.18,49.76,20.10
1000000,900000,1.79,84.75,11.80,1.16,49.46,20.22
1000000,1000000,1.92,82.92,12.06,1.14,49.14,20.35
Xor Plus - 16 [Incomplete Values]
1000000,100000,0.30,120.12,8.32,0.75,29.78,33.58
1000000,200000,0.57,120.53,8.30,0.69,29.14,34.32
1000000,300000,0.84,119.93,8.34,0.64,27.19,36.78
1000000,400000,1.11,118.93,8.41,0.64,27.28,36.66
1000000,500000,1.37,117.15,8.54,0.60,25.88,38.64
1000000,600000,1.64,116.27,8.60,0.54,23.11,43.27
Xor Binary Fuse - 16 [Naive] - Inconsistient Values
1000000,100000,1.09,433.96,2.30,1.00,39.83,25.11
1000000,200000,2.04,433.93,2.30,0.89,37.67,26.55
1000000,300000,3.05,433.53,2.31,0.87,37.08,26.97
1000000,400000,4.06,433.31,2.31,0.86,36.85,27.14
1000000,500000,5.06,433.10,2.31,0.84,36.18,27.64
1000000,600000,6.09,433.20,2.31,0.83,35.41,28.24
