Data Size,Test Size,True Positives,True Negative,False Positives,False Negatives,Bogus size,False Pos: bogus,Duplicate values num
Binary Fuse - 16
1000000,200000,200000,799986,14,0,1000000,15,1
1000000,300000,300000,699987,13,0,1000000,19,1
1000000,400000,400000,599997,3,0,1000000,16,1
1000000,500000,500000,499992,8,0,1000000,15,1
1000000,600000,600000,399994,6,0,1000000,12,1
After this construction failed. 
Branchless Bloom - 16
1000000,100000,100000,899583,417,0,1000000,467,1
1000000,200000,200000,799644,356,0,1000000,451,1
1000000,300000,300000,699683,317,0,1000000,441,1
1000000,400000,400000,599698,302,0,1000000,451,1
1000000,500000,500000,499783,217,0,1000000,466,1
1000000,600000,600000,399827,173,0,1000000,454,1
1000000,700000,700000,299851,149,0,1000000,431,1
1000000,800000,800000,199907,93,0,1000000,485,1
1000000,900000,900000,99952,48,0,1000000,472,1
1000000,1000000,1000000,0,0,0,1000000,441,1
Blocked Bloom - 16
1000000,100000,0,33245,866755,100000,1000000,963570,1
1000000,200000,0,29203,770797,200000,1000000,963658,1
1000000,300000,0,25866,674134,300000,1000000,963576,1
1000000,400000,0,22045,577955,400000,1000000,963650,1
1000000,500000,0,18538,481462,500000,1000000,963742,1
1000000,600000,0,14887,385113,600000,1000000,963446,1
1000000,700000,0,10955,289045,700000,1000000,963101,1
1000000,800000,0,7445,192555,800000,1000000,963093,1
1000000,900000,0,3833,96167,900000,1000000,962972,1
1000000,1000000,0,0,0,1000000,1000000,962405,1
Counting Bloom - 16 
1000000,100000,100000,899629,371,0,1000000,423,1
1000000,200000,200000,799643,357,0,1000000,466,1
1000000,300000,300000,699690,310,0,1000000,431,1
1000000,400000,400000,599716,284,0,1000000,426,1
1000000,500000,500000,499762,238,0,1000000,452,1
1000000,600000,600000,399826,174,0,1000000,433,1
1000000,700000,700000,299877,123,0,1000000,445,1
1000000,800000,800000,199916,84,0,1000000,459,1
1000000,900000,900000,99935,65,0,1000000,473,1
1000000,1000000,1000000,0,0,0,1000000,468,1
Xor Plus - 16 [Incomplete Values]
1000000,100000,100000,896574,3426,0,1000000,4043,1
1000000,200000,200000,796861,3139,0,1000000,3869,1
1000000,300000,300000,697271,2729,0,1000000,4054,1
1000000,400000,400000,597720,2280,0,1000000,3804,1
1000000,500000,500000,497991,2009,0,1000000,3795,1
1000000,600000,600000,398406,1594,0,1000000,4032,1
Xor Binary Fuse - 16 [Naive] - Inconsistient Values
1000000,100000,99998,8,899992,2,1000000,999980,1
1000000,200000,199999,12,799988,1,1000000,999983,1
1000000,300000,299996,12,699988,4,1000000,999984,1
1000000,400000,399992,11,599989,8,1000000,999980,1
1000000,500000,499995,12,499988,5,1000000,999987,1
1000000,600000,599990,4,399996,10,1000000,999990,1
